,lat,lon,,
0,-55.13088989,291.25,,
1,-54.18848038,292.5,,
2,-53.24607468,291.25,,
3,-53.24607468,288.75,,
4,-51.36125565,291.25,,
5,-49.47644043,292.5,,
6,-46.6492157,168.75,,
7,-45.70680618,292.5,,
8,-45.70680618,170,,
9,-45.70680618,171.25,,
10,-45.70680618,287.5,,
11,-44.76439667,171.25,,
12,-43.82199097,172.5,,
13,-42.87958145,288.75,,
14,-42.87958145,147.5,,
15,-42.87958145,295,,
16,-41.93717194,171.25,,
17,-41.93717194,287.5,,
18,-41.93717194,286.25,,
19,-40.99476624,288.75,,
20,-40.99476624,287.5,,
21,-40.99476624,147.5,,
22,-40.99476624,286.25,,
23,-40.99476624,146.25,,
24,-40.99476624,173.75,,
25,-40.99476624,175,,
26,-40.99476624,297.5,,
27,-40.05235672,287.5,,
28,-40.05235672,286.25,,
29,-40.05235672,175,,
30,-40.05235672,176.25,,
31,-40.05235672,177.5,,
32,-39.1099472,291.25,,
33,-39.1099472,292.5,,
34,-39.1099472,287.5,,
35,-39.1099472,286.25,,
36,-39.1099472,173.75,,
37,-39.1099472,297.5,,
38,-39.1099472,176.25,,
39,-39.1099472,177.5,,
40,-39.1099472,298.75,,
41,-39.1099472,300,,
42,-38.16753769,287.5,,
43,-38.16753769,286.25,,
44,-38.16753769,175,,
45,-38.16753769,176.25,,
46,-38.16753769,300,,
47,-38.16753769,141.25,,
48,-38.16753769,142.5,,
49,-38.16753769,143.75,,
50,-38.16753769,145,,
51,-38.16753769,301.25,,
52,-38.16753769,302.5,,
53,-37.22513199,287.5,,
54,-37.22513199,286.25,,
55,-37.22513199,175,,
56,-37.22513199,297.5,,
57,-37.22513199,176.25,,
58,-37.22513199,300,,
59,-37.22513199,143.75,,
60,-37.22513199,145,,
61,-37.22513199,301.25,,
62,-37.22513199,302.5,,
63,-36.28272247,288.75,,
64,-36.28272247,287.5,,
65,-36.28272247,147.5,,
66,-36.28272247,286.25,,
67,-36.28272247,175,,
68,-36.28272247,297.5,,
69,-36.28272247,298.75,,
70,-36.28272247,296.25,,
71,-35.34031296,288.75,,
72,-35.34031296,287.5,,
73,-35.34031296,173.75,,
74,-35.34031296,297.5,,
75,-35.34031296,298.75,,
76,-35.34031296,300,,
77,-35.34031296,301.25,,
78,-35.34031296,302.5,,
79,-35.34031296,296.25,,
80,-35.34031296,117.5,,
81,-35.34031296,138.75,,
82,-35.34031296,148.75,,
83,-35.34031296,151.25,,
84,-34.39790726,291.25,,
85,-34.39790726,288.75,,
86,-34.39790726,287.5,,
87,-34.39790726,297.5,,
88,-34.39790726,298.75,,
89,-34.39790726,300,,
90,-34.39790726,301.25,,
91,-34.39790726,302.5,,
92,-34.39790726,138.75,,
93,-34.39790726,151.25,,
94,-34.39790726,18.75,,
95,-34.39790726,22.5,,
96,-34.39790726,23.75,,
97,-34.39790726,25,,
98,-34.39790726,136.25,,
99,-34.39790726,303.75,,
100,-34.39790726,305,,
101,-34.39790726,306.25,,
102,-33.45549774,291.25,,
103,-33.45549774,288.75,,
104,-33.45549774,295,,
105,-33.45549774,297.5,,
106,-33.45549774,298.75,,
107,-33.45549774,300,,
108,-33.45549774,301.25,,
109,-33.45549774,302.5,,
110,-33.45549774,296.25,,
111,-33.45549774,151.25,,
112,-33.45549774,18.75,,
113,-33.45549774,22.5,,
114,-33.45549774,25,,
115,-33.45549774,303.75,,
116,-33.45549774,306.25,,
117,-33.45549774,20,,
118,-33.45549774,26.25,,
119,-33.45549774,27.5,,
120,-33.45549774,115,,
121,-33.45549774,116.25,,
122,-33.45549774,293.75,,
123,-32.51308823,291.25,,
124,-32.51308823,288.75,,
125,-32.51308823,297.5,,
126,-32.51308823,298.75,,
127,-32.51308823,300,,
128,-32.51308823,301.25,,
129,-32.51308823,302.5,,
130,-32.51308823,296.25,,
131,-32.51308823,151.25,,
132,-32.51308823,306.25,,
133,-32.51308823,27.5,,
134,-32.51308823,116.25,,
135,-32.51308823,28.75,,
136,-32.51308823,152.5,,
137,-32.51308823,307.5,,
138,-31.57068062,291.25,,
139,-31.57068062,288.75,,
140,-31.57068062,295,,
141,-31.57068062,297.5,,
142,-31.57068062,298.75,,
143,-31.57068062,300,,
144,-31.57068062,301.25,,
145,-31.57068062,302.5,,
146,-31.57068062,296.25,,
147,-31.57068062,306.25,,
148,-31.57068062,27.5,,
149,-31.57068062,115,,
150,-31.57068062,116.25,,
151,-31.57068062,28.75,,
152,-31.57068062,152.5,,
153,-31.57068062,307.5,,
154,-30.62827301,288.75,,
155,-30.62827301,295,,
156,-30.62827301,297.5,,
157,-30.62827301,298.75,,
158,-30.62827301,300,,
159,-30.62827301,302.5,,
160,-30.62827301,296.25,,
161,-30.62827301,303.75,,
162,-30.62827301,305,,
163,-30.62827301,306.25,,
164,-30.62827301,30,,
165,-30.62827301,31.25,,
166,-30.62827301,153.75,,
167,-30.62827301,308.75,,
168,-30.62827301,310,,
169,-29.68586349,288.75,,
170,-29.68586349,300,,
171,-29.68586349,302.5,,
172,-29.68586349,303.75,,
173,-29.68586349,306.25,,
174,-29.68586349,27.5,,
175,-29.68586349,293.75,,
176,-29.68586349,307.5,,
177,-29.68586349,30,,
178,-29.68586349,31.25,,
179,-29.68586349,308.75,,
180,-29.68586349,310,,
181,-28.74345589,288.75,,
182,-28.74345589,300,,
183,-28.74345589,301.25,,
184,-28.74345589,25,,
185,-28.74345589,303.75,,
186,-28.74345589,305,,
187,-28.74345589,306.25,,
188,-28.74345589,26.25,,
189,-28.74345589,27.5,,
190,-28.74345589,293.75,,
191,-28.74345589,28.75,,
192,-28.74345589,307.5,,
193,-28.74345589,30,,
194,-28.74345589,31.25,,
195,-28.74345589,153.75,,
196,-28.74345589,308.75,,
197,-28.74345589,310,,
198,-28.74345589,21.25,,
199,-28.74345589,32.5,,
200,-28.74345589,311.25,,
201,-27.80104637,295,,
202,-27.80104637,298.75,,
203,-27.80104637,301.25,,
204,-27.80104637,296.25,,
205,-27.80104637,25,,
206,-27.80104637,303.75,,
207,-27.80104637,305,,
208,-27.80104637,306.25,,
209,-27.80104637,26.25,,
210,-27.80104637,27.5,,
211,-27.80104637,293.75,,
212,-27.80104637,28.75,,
213,-27.80104637,152.5,,
214,-27.80104637,307.5,,
215,-27.80104637,30,,
216,-27.80104637,31.25,,
217,-27.80104637,153.75,,
218,-27.80104637,308.75,,
219,-27.80104637,310,,
220,-27.80104637,32.5,,
221,-27.80104637,311.25,,
222,-27.80104637,290,,
223,-26.85863876,295,,
224,-26.85863876,298.75,,
225,-26.85863876,300,,
226,-26.85863876,301.25,,
227,-26.85863876,303.75,,
228,-26.85863876,305,,
229,-26.85863876,306.25,,
230,-26.85863876,26.25,,
231,-26.85863876,27.5,,
232,-26.85863876,28.75,,
233,-26.85863876,152.5,,
234,-26.85863876,307.5,,
235,-26.85863876,30,,
236,-26.85863876,31.25,,
237,-26.85863876,153.75,,
238,-26.85863876,308.75,,
239,-26.85863876,310,,
240,-26.85863876,311.25,,
241,-25.91623116,301.25,,
242,-25.91623116,302.5,,
243,-25.91623116,25,,
244,-25.91623116,303.75,,
245,-25.91623116,305,,
246,-25.91623116,306.25,,
247,-25.91623116,26.25,,
248,-25.91623116,27.5,,
249,-25.91623116,28.75,,
250,-25.91623116,307.5,,
251,-25.91623116,30,,
252,-25.91623116,31.25,,
253,-25.91623116,308.75,,
254,-25.91623116,310,,
255,-25.91623116,32.5,,
256,-25.91623116,311.25,,
257,-24.97382164,295,,
258,-24.97382164,302.5,,
259,-24.97382164,303.75,,
260,-24.97382164,305,,
261,-24.97382164,306.25,,
262,-24.97382164,26.25,,
263,-24.97382164,27.5,,
264,-24.97382164,28.75,,
265,-24.97382164,152.5,,
266,-24.97382164,307.5,,
267,-24.97382164,30,,
268,-24.97382164,31.25,,
269,-24.97382164,308.75,,
270,-24.97382164,310,,
271,-24.97382164,32.5,,
272,-24.97382164,311.25,,
273,-24.97382164,33.75,,
274,-24.97382164,35,,
275,-24.97382164,47.5,,
276,-24.97382164,312.5,,
277,-24.03141403,295,,
278,-24.03141403,151.25,,
279,-24.03141403,25,,
280,-24.03141403,305,,
281,-24.03141403,306.25,,
282,-24.03141403,28.75,,
283,-24.03141403,307.5,,
284,-24.03141403,30,,
285,-24.03141403,31.25,,
286,-24.03141403,308.75,,
287,-24.03141403,310,,
288,-24.03141403,311.25,,
289,-24.03141403,290,,
290,-24.03141403,35,,
291,-24.03141403,47.5,,
292,-24.03141403,312.5,,
293,-24.03141403,313.75,,
294,-23.08900452,302.5,,
295,-23.08900452,296.25,,
296,-23.08900452,305,,
297,-23.08900452,306.25,,
298,-23.08900452,26.25,,
299,-23.08900452,28.75,,
300,-23.08900452,307.5,,
301,-23.08900452,30,,
302,-23.08900452,308.75,,
303,-23.08900452,310,,
304,-23.08900452,311.25,,
305,-23.08900452,47.5,,
306,-23.08900452,312.5,,
307,-23.08900452,313.75,,
308,-23.08900452,15,,
309,-23.08900452,43.75,,
310,-23.08900452,315,,
311,-23.08900452,316.25,,
312,-23.08900452,317.5,,
313,-22.14659691,296.25,,
314,-22.14659691,303.75,,
315,-22.14659691,305,,
316,-22.14659691,306.25,,
317,-22.14659691,27.5,,
318,-22.14659691,307.5,,
319,-22.14659691,308.75,,
320,-22.14659691,310,,
321,-22.14659691,311.25,,
322,-22.14659691,290,,
323,-22.14659691,47.5,,
324,-22.14659691,312.5,,
325,-22.14659691,313.75,,
326,-22.14659691,315,,
327,-22.14659691,316.25,,
328,-22.14659691,317.5,,
329,-22.14659691,13.75,,
330,-22.14659691,17.5,,
331,-22.14659691,318.75,,
332,-21.2041893,148.75,,
333,-21.2041893,27.5,,
334,-21.2041893,308.75,,
335,-21.2041893,310,,
336,-21.2041893,311.25,,
337,-21.2041893,47.5,,
338,-21.2041893,312.5,,
339,-21.2041893,313.75,,
340,-21.2041893,315,,
341,-21.2041893,316.25,,
342,-21.2041893,317.5,,
343,-21.2041893,318.75,,
344,-21.2041893,48.75,,
345,-21.2041893,320,,
346,-20.26177979,303.75,,
347,-20.26177979,305,,
348,-20.26177979,28.75,,
349,-20.26177979,30,,
350,-20.26177979,31.25,,
351,-20.26177979,308.75,,
352,-20.26177979,310,,
353,-20.26177979,32.5,,
354,-20.26177979,311.25,,
